timestamp,position,velocity,acceleration,angular_rate,motor_controls
2024-11-26T17:31:56.175930,"[0.04808103293180466, -0.014102328568696976, 1.2316908836364746]","[0.06700918078422546, -0.003539781551808119, 0.3210533559322357]","[0.05400707572698593, 0.012561527080833912, 0.034871287643909454]","[0.0016579565, -0.0014419572, -0.002972066]","[0.2703953981399536, 0.1800822615623474, 0.9436720609664917, 1.0]"
2024-11-26T17:31:56.275933,"[0.046667929738759995, -0.015394975431263447, 1.2283152341842651]","[0.06648547947406769, -0.0043404423631727695, 0.31967082619667053]","[0.031333889812231064, -0.0159289687871933, 0.0554690845310688]","[-0.0020708104, 0.0025522243, -0.0011097279]","[0.35819774866104126, 0.283369243144989, 0.9565907716751099, 1.0]"
2024-11-26T17:31:56.376039,"[0.04768133535981178, -0.01646839827299118, 1.236283540725708]","[0.0664990097284317, -0.0016056820750236511, 0.320260226726532]","[0.022744160145521164, 0.10830838233232498, 0.05918525531888008]","[0.0003257252, -0.003039855, -0.03386469]","[0.45951539278030396, 0.3941817283630371, 0.9756489992141724, 1.0]"
2024-11-26T17:31:56.475917,"[0.050609294325113297, -0.016693897545337677, 1.2529709339141846]","[0.0695633813738823, 0.003835757030174136, 0.31968212127685547]","[0.01966710388660431, -0.016469936817884445, -0.09644622355699539]","[-0.008463107, 0.008145238, -0.7350765]","[0.5526692867279053, 0.5051062107086182, 0.9925287961959839, 1.0]"
2024-11-26T17:31:56.575985,"[0.04890535771846771, -0.01604890264570713, 1.240771770477295]","[0.06662889569997787, -0.0008642313769087195, 0.25468355417251587]","[-0.004026436246931553, -0.06731003522872925, -0.9582808017730713]","[0.0053968867, 0.05980702, -1.6008719]","[0.6348713636398315, 0.6174770593643188, 0.9882614612579346, 1.0]"
2024-11-26T17:31:56.675903,"[0.048584528267383575, -0.016181670129299164, 1.2255724668502808]","[0.059315379709005356, -0.01428395975381136, 0.10467656701803207]","[-0.08218761533498764, -0.1543584167957306, -1.6107243299484253]","[0.06265349, 0.03770268, -2.3367019]","[0.6823446750640869, 0.6712024211883545, 0.9848123788833618, 1.0]"
2024-11-26T17:31:56.775823,"[0.04817360267043114, -0.01799919269979, 1.1986379623413086]","[0.044341184198856354, -0.03050081990659237, -0.08328739553689957]","[-0.1785409301519394, -0.12835529446601868, -2.131986141204834]","[0.08475495, -0.024614837, -2.8991632]","[0.7787818908691406, 0.772362470626831, 0.9962470531463623, 1.0]"
2024-11-26T17:31:56.875884,"[0.04731185361742973, -0.020833445712924004, 1.1602648496627808]","[0.021720416843891144, -0.03930847346782684, -0.35052359104156494]","[-0.27738967537879944, -0.02651769295334816, -3.3712170124053955]","[0.11884474, -0.06376103, -3.1521661]","[0.8706856369972229, 0.86068195104599, 0.9958465099334717, 1.0]"
2024-11-26T17:31:56.975986,"[0.042247921228408813, -0.02369019202888012, 1.0760927200317383]","[-0.011831235140562057, -0.03369247913360596, -0.7265668511390686]","[-0.29793694615364075, 0.11834364384412766, -3.654393434524536]","[0.07118473, -0.099185005, -3.237656]","[0.8942183256149292, 0.8822559714317322, 0.9944931268692017, 1.0]"
2024-11-26T17:31:57.075852,"[0.031034652143716812, -0.024172428995370865, 0.9457870125770569]","[-0.04066158086061478, -0.017930634319782257, -1.078709602355957]","[-0.22952964901924133, 0.16791939735412598, -3.526019811630249]","[0.004872767, -0.11463445, -3.2594955]","[0.8990317583084106, 0.8889127969741821, 0.9977666139602661, 1.0]"
